time,iso,open,high,low,close,tick_volume,spread
1750550400,2025-06-22T00:00:00+00:00,3383.61,3388.92,3371.29,3372.73,10606,17
1750636800,2025-06-23T00:00:00+00:00,3372.73,3393.5,3342.64,3344.17,149737,17
1750723200,2025-06-24T00:00:00+00:00,3344.24,3357.82,3295.49,3324.17,156570,12
1750809600,2025-06-25T00:00:00+00:00,3324.17,3340.21,3311.98,3339.02,139648,12
1750896000,2025-06-26T00:00:00+00:00,3339.02,3350.34,3309.95,3318.77,154286,12
1750982400,2025-06-27T00:00:00+00:00,3318.77,3322.05,3256.06,3273.46,173021,12
1751155200,2025-06-29T00:00:00+00:00,3272.35,3274.2,3247.87,3263.91,12518,12
1751241600,2025-06-30T00:00:00+00:00,3263.83,3314.6,3259.47,3312.5,143985,12
1751328000,2025-07-01T00:00:00+00:00,3312.5,3358.06,3309.92,3338.15,158132,12
1751414400,2025-07-02T00:00:00+00:00,3338.15,3365.71,3327.58,3349.34,143458,12
1751500800,2025-07-03T00:00:00+00:00,3349.34,3363.7,3311.67,3330.84,135595,12
1751587200,2025-07-04T00:00:00+00:00,3330.84,3345.1,3325.88,3337.01,87935,12
1751760000,2025-07-06T00:00:00+00:00,3341.41,3341.97,3326.3,3328.92,7123,12
1751846400,2025-07-07T00:00:00+00:00,3328.92,3345.81,3296.43,3334.6,167254,12
1751932800,2025-07-08T00:00:00+00:00,3334.6,3339.49,3287.19,3302.31,158347,12
1752019200,2025-07-09T00:00:00+00:00,3302.33,3321.12,3282.72,3317.63,146912,12
1752105600,2025-07-10T00:00:00+00:00,3317.66,3330.3,3310.18,3323.83,125739,12
1752192000,2025-07-11T00:00:00+00:00,3323.83,3368.68,3323.61,3357.92,162285,12
1752364800,2025-07-13T00:00:00+00:00,3361.18,3374.03,3359.82,3367.77,10620,12
1752451200,2025-07-14T00:00:00+00:00,3367.76,3375.0,3341.04,3345.32,152289,12
1752537600,2025-07-15T00:00:00+00:00,3345.33,3366.36,3320.24,3331.06,143765,12
1752624000,2025-07-16T00:00:00+00:00,3331.06,3377.31,3319.65,3346.52,155662,12
1752710400,2025-07-17T00:00:00+00:00,3346.52,3347.36,3309.83,3340.26,141440,12
1752796800,2025-07-18T00:00:00+00:00,3340.31,3361.25,3331.85,3351.13,126183,12
1752969600,2025-07-20T00:00:00+00:00,3348.8,3350.07,3345.03,3349.13,5208,12
1753056000,2025-07-21T00:00:00+00:00,3349.13,3402.72,3347.68,3396.49,143670,12
1753142400,2025-07-22T00:00:00+00:00,3396.49,3433.46,3383.32,3427.45,150073,12
1753228800,2025-07-23T00:00:00+00:00,3427.43,3438.99,3381.51,3390.06,172394,12
1753315200,2025-07-24T00:00:00+00:00,3390.06,3393.38,3351.42,3369.45,157501,12
1753401600,2025-07-25T00:00:00+00:00,3369.45,3373.48,3325.08,3338.81,131270,12
1753574400,2025-07-27T00:00:00+00:00,3329.36,3337.36,3324.1,3333.64,9834,12
1753660800,2025-07-28T00:00:00+00:00,3333.64,3345.36,3301.81,3312.64,146489,12
1753747200,2025-07-29T00:00:00+00:00,3312.64,3334.1,3308.08,3327.6,152386,12
1753833600,2025-07-30T00:00:00+00:00,3327.59,3334.01,3268.07,3285.31,161761,12
1753920000,2025-07-31T00:00:00+00:00,3285.31,3314.85,3282.83,3288.57,154781,12
1754006400,2025-08-01T00:00:00+00:00,3288.57,3362.74,3281.65,3362.64,168749,12
1754179200,2025-08-03T00:00:00+00:00,3364.21,3364.59,3354.6,3362.0,7988,12
1754265600,2025-08-04T00:00:00+00:00,3362.0,3385.4,3345.06,3377.45,145084,12
1754352000,2025-08-05T00:00:00+00:00,3377.45,3390.43,3349.87,3383.27,135426,12
1754438400,2025-08-06T00:00:00+00:00,3383.23,3385.31,3358.24,3370.2,131894,12
1754524800,2025-08-07T00:00:00+00:00,3370.21,3409.02,3365.25,3400.57,207528,9
1754611200,2025-08-08T00:00:00+00:00,3400.57,3404.28,3378.69,3398.2,270733,12
1754784000,2025-08-10T00:00:00+00:00,3400.55,3401.9,3390.14,3391.5,6614,12
1754870400,2025-08-11T00:00:00+00:00,3391.5,3391.65,3341.23,3349.04,189843,12
1754956800,2025-08-12T00:00:00+00:00,3349.04,3359.31,3331.13,3350.59,162789,12
1755043200,2025-08-13T00:00:00+00:00,3350.59,3370.77,3342.71,3362.78,137469,12
1755129600,2025-08-14T00:00:00+00:00,3362.78,3374.77,3329.86,3335.57,165589,12
1755216000,2025-08-15T00:00:00+00:00,3335.57,3348.76,3332.42,3336.37,124335,12
1755388800,2025-08-17T00:00:00+00:00,3334.64,3335.36,3323.58,3327.08,6177,12
1755475200,2025-08-18T00:00:00+00:00,3327.08,3358.44,3326.8,3330.96,123567,12
1755561600,2025-08-19T00:00:00+00:00,3330.96,3345.32,3312.92,3314.26,128136,12
1755648000,2025-08-20T00:00:00+00:00,3314.26,3352.16,3311.54,3346.95,126788,12
1755734400,2025-08-21T00:00:00+00:00,3346.95,3348.15,3325.19,3338.38,124629,12
1755820800,2025-08-22T00:00:00+00:00,3338.38,3378.83,3321.47,3371.8,130286,7
1755993600,2025-08-24T00:00:00+00:00,3368.66,3371.07,3365.96,3369.11,4954,12
1756080000,2025-08-25T00:00:00+00:00,3369.11,3376.29,3351.67,3354.89,103809,12
1756166400,2025-08-26T00:00:00+00:00,3354.89,3394.38,3351.37,3390.94,147175,12
1756252800,2025-08-27T00:00:00+00:00,3390.9,3399.32,3373.8,3395.74,135365,12
1756339200,2025-08-28T00:00:00+00:00,3395.74,3423.08,3384.61,3414.79,148925,12
1756425600,2025-08-29T00:00:00+00:00,3414.78,3453.89,3404.33,3449.3,151906,12
1756598400,2025-08-31T00:00:00+00:00,3445.84,3452.7,3442.43,3447.94,6730,12
1756684800,2025-09-01T00:00:00+00:00,3447.94,3489.86,3437.07,3479.29,144210,12
1756771200,2025-09-02T00:00:00+00:00,3479.29,3539.99,3470.14,3530.02,221837,12
1756857600,2025-09-03T00:00:00+00:00,3530.02,3578.39,3526.87,3560.39,199881,12
1756944000,2025-09-04T00:00:00+00:00,3560.39,3563.41,3511.41,3552.67,192917,12
1757030400,2025-09-05T00:00:00+00:00,3552.67,3600.1,3544.85,3589.91,190665,12
1757203200,2025-09-07T00:00:00+00:00,3592.0,3596.83,3587.15,3591.23,15019,12
1757289600,2025-09-08T00:00:00+00:00,3591.23,3646.35,3579.65,3634.95,194483,12
1757376000,2025-09-09T00:00:00+00:00,3634.95,3674.71,3623.11,3633.58,207301,12
1757462400,2025-09-10T00:00:00+00:00,3633.58,3657.5,3620.41,3644.92,171781,12
1757548800,2025-09-11T00:00:00+00:00,3644.92,3649.19,3613.94,3631.84,172338,12
1757635200,2025-09-12T00:00:00+00:00,3631.84,3656.63,3630.49,3642.32,154458,12
1757808000,2025-09-14T00:00:00+00:00,3644.56,3645.92,3636.86,3638.18,5694,12
1757894400,2025-09-15T00:00:00+00:00,3638.17,3685.54,3626.69,3676.92,164879,12
1757980800,2025-09-16T00:00:00+00:00,3676.92,3703.01,3674.78,3694.26,173467,12
1758067200,2025-09-17T00:00:00+00:00,3694.26,3707.48,3646.19,3669.13,200909,12
1758153600,2025-09-18T00:00:00+00:00,3669.13,3672.97,3627.96,3640.21,193377,12
1758240000,2025-09-19T00:00:00+00:00,3640.21,3685.2,3632.37,3684.64,178388,12
1758412800,2025-09-21T00:00:00+00:00,3687.97,3692.12,3683.73,3686.34,7884,12
1758499200,2025-09-22T00:00:00+00:00,3686.31,3749.15,3685.57,3747.74,188915,12
1758585600,2025-09-23T00:00:00+00:00,3747.79,3791.13,3736.78,3763.83,216731,12
1758672000,2025-09-24T00:00:00+00:00,3763.84,3779.26,3717.52,3743.04,191266,12
1758758400,2025-09-25T00:00:00+00:00,3743.04,3761.6,3722.14,3744.71,207710,12
1758844800,2025-09-26T00:00:00+00:00,3744.71,3783.79,3734.47,3762.66,183558,12
1759017600,2025-09-28T00:00:00+00:00,3764.85,3772.49,3763.52,3766.9,9023,12
1759104000,2025-09-29T00:00:00+00:00,3766.83,3834.21,3763.93,3832.88,228318,12
1759190400,2025-09-30T00:00:00+00:00,3832.88,3871.7,3793.18,3862.88,233364,12
1759276800,2025-10-01T00:00:00+00:00,3862.9,3895.29,3853.44,3863.5,221399,12
1759363200,2025-10-02T00:00:00+00:00,3863.49,3896.85,3819.41,3862.45,200175,12
1759449600,2025-10-03T00:00:00+00:00,3862.45,3891.67,3838.04,3884.91,186842,12
1759622400,2025-10-05T00:00:00+00:00,3888.61,3920.58,3884.32,3909.65,16980,12
1759708800,2025-10-06T00:00:00+00:00,3909.66,3976.19,3899.0,3969.5,239275,12
1759795200,2025-10-07T00:00:00+00:00,3969.5,3995.97,3940.92,3994.37,237197,12
1759881600,2025-10-08T00:00:00+00:00,3994.37,4059.19,3984.47,4011.71,250595,12
1759968000,2025-10-09T00:00:00+00:00,4011.71,4057.9,3944.81,3989.86,276314,12
1760054400,2025-10-10T00:00:00+00:00,3989.86,4022.41,3947.03,4012.99,275925,12
1760227200,2025-10-12T00:00:00+00:00,4012.81,4059.92,4008.77,4035.15,18323,12
1760313600,2025-10-13T00:00:00+00:00,4035.15,4131.96,4024.6,4128.0,244503,12
1760400000,2025-10-14T00:00:00+00:00,4127.99,4179.72,4090.56,4161.65,294084,12
1760486400,2025-10-15T00:00:00+00:00,4161.6,4218.21,4153.9,4209.48,252783,12
1760572800,2025-10-16T00:00:00+00:00,4209.48,4379.25,4203.63,4365.75,279436,12
1760659200,2025-10-17T00:00:00+00:00,4365.67,4378.62,4186.55,4247.38,316991,12
1760832000,2025-10-19T00:00:00+00:00,4264.81,4268.03,4234.22,4237.98,17945,12
1760918400,2025-10-20T00:00:00+00:00,4237.98,4381.45,4219.02,4360.3,284736,12
1761004800,2025-10-21T00:00:00+00:00,4360.33,4372.26,4085.36,4093.1,316285,12
1761091200,2025-10-22T00:00:00+00:00,4093.1,4161.38,4004.42,4087.77,319539,12
1761177600,2025-10-23T00:00:00+00:00,4087.68,4154.68,4066.14,4121.49,258650,12
1761264000,2025-10-24T00:00:00+00:00,4121.67,4144.5,4044.53,4109.1,235967,12
1761436800,2025-10-26T00:00:00+00:00,4083.58,4109.11,4061.91,4064.55,19197,12
1761523200,2025-10-27T00:00:00+00:00,4064.56,4097.7,3971.52,3998.53,269964,8
1761609600,2025-10-28T00:00:00+00:00,3998.51,4019.74,3886.56,3964.96,265034,8
1761696000,2025-10-29T00:00:00+00:00,3964.96,4030.1,3917.32,3952.89,271085,8
1761782400,2025-10-30T00:00:00+00:00,3952.89,4046.36,3915.52,4036.6,287703,8
1761868800,2025-10-31T00:00:00+00:00,4036.6,4039.35,3972.46,4003.8,248740,8
1762041600,2025-11-02T00:00:00+00:00,3995.57,3999.04,3977.99,3980.57,6891,8
1762128000,2025-11-03T00:00:00+00:00,3979.64,4030.62,3962.7,3997.29,239375,8
