hypothesis,run_tag,mode,mode_id,geometry,window,window_from,window_to,role,trades,test_pnl,cumulative_r,win_rate_pct,sl_exits,tp_exits,timeout_exits,profit_factor,max_drawdown,max_drawdown_pct,expectancy,recovery_factor,avg_win,avg_loss,longest_loss_streak,on_tester_result,r_matches_report,research_line_present,history_quality,bars,ticks,entries_on_bar_open,experiment_id,accounting_source,mean_risk,money_implied_r,risk_source
REVERSE_BOTH_sl3_tp4_h180_r0.01,v28_wf_REVERSE_BOTH_sl3_tp4_h180_r0.01_4260-0916122718,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 3.0, 'tp_atr': 4.0, 'hold_min': 180}",wf,2025.12.14,2026.03.13,wf,27,168.34,1.6889,51.85,0,0,27,1.57,109.44,1.08,6.23,1.25,33.23,-22.84,4,1.688887036511453,False,True,100% real ticks,4272.0,3841286.0,True,V28-0050,,100.99,1.6669,
REVERSE_BOTH_sl2_tp2_h180_r0.01,v28_wf_REVERSE_BOTH_sl2_tp2_h180_r0.01_5392-0916131615,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 2.0, 'hold_min': 180}",wf,2025.12.14,2026.03.13,wf,27,302.18,3.0291,51.85,0,5,22,1.67,166.34,1.62,11.19,1.47,53.77,-34.66,4,3.029115307644566,False,True,100% real ticks,4272.0,3841286.0,True,V28-0051,,101.91,2.9652,
REVERSE_BOTH_sl2_tp3_h180_r0.01,v28_wf_REVERSE_BOTH_sl2_tp3_h180_r0.01_5392-0916131633,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 3.0, 'hold_min': 180}",wf,2025.12.14,2026.03.13,wf,27,250.4,2.5161,51.85,0,0,27,1.56,165.76,1.62,9.27,1.22,50.01,-34.6,4,2.516130365167043,False,True,100% real ticks,4272.0,3841286.0,True,V28-0052,,101.48,2.4675,
REVERSE_BOTH_sl2_tp5_h180_r0.01,v28_wf_REVERSE_BOTH_sl2_tp5_h180_r0.01_5392-0916131654,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 5.0, 'hold_min': 180}",wf,2025.12.14,2026.03.13,wf,27,250.4,2.5161,51.85,0,0,27,1.56,165.76,1.62,9.27,1.22,50.01,-34.6,4,2.516130365167043,False,True,100% real ticks,4272.0,3841286.0,True,V28-0053,,101.48,2.4675,
REVERSE_BOTH_sl2_tp6_h180_r0.01,v28_wf_REVERSE_BOTH_sl2_tp6_h180_r0.01_5392-0916131712,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 6.0, 'hold_min': 180}",wf,2025.12.14,2026.03.13,wf,27,250.4,2.5161,51.85,0,0,27,1.56,165.76,1.62,9.27,1.22,50.01,-34.6,4,2.516130365167043,False,True,100% real ticks,4272.0,3841286.0,True,V28-0054,,101.48,2.4675,
REVERSE_BOTH_sl2_tp4_h30_r0.01,v28_wf_REVERSE_BOTH_sl2_tp4_h30_r0.01_5392-0916131733,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 30}",wf,2025.12.14,2026.03.13,wf,32,-58.04,-0.5735,56.25,0,0,32,0.81,205.78,2.03,-1.81,-0.27,14.05,-22.21,5,-0.5735428463299527,False,True,100% real ticks,4272.0,3841286.0,True,V28-0055,,100.44,-0.5779,
REVERSE_BOTH_sl2_tp4_h60_r0.01,v28_wf_REVERSE_BOTH_sl2_tp4_h60_r0.01_5392-0916131750,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 60}",wf,2025.12.14,2026.03.13,wf,29,33.41,0.3509,48.28,0,0,29,1.08,251.13,2.45,1.15,0.13,30.89,-26.6,5,0.3508539008405249,False,True,100% real ticks,4272.0,3841286.0,True,V28-0056,,101.25,0.33,
REVERSE_BOTH_sl2_tp4_h90_r0.01,v28_wf_REVERSE_BOTH_sl2_tp4_h90_r0.01_5392-0916131814,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 90}",wf,2025.12.14,2026.03.13,wf,29,89.05,0.9097,41.38,0,0,29,1.22,244.3,2.37,3.07,0.31,41.4,-23.99,6,0.9097205886963929,False,True,100% real ticks,4272.0,3841286.0,True,V28-0057,,101.89,0.874,
REVERSE_BOTH_sl2_tp4_h120_r0.01,v28_wf_REVERSE_BOTH_sl2_tp4_h120_r0.01_5392-0916131829,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 120}",wf,2025.12.14,2026.03.13,wf,29,185.09,1.856,37.93,0,0,29,1.58,93.76,0.92,6.38,1.21,45.7,-17.65,5,1.85599282512935,False,True,100% real ticks,4272.0,3841286.0,True,V28-0058,,101.46,1.8243,
REVERSE_BOTH_sl2_tp4_h240_r0.01,v28_wf_REVERSE_BOTH_sl2_tp4_h240_r0.01_5392-0916131846,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 240}",wf,2025.12.14,2026.03.13,wf,26,244.99,2.4753,50.0,1,0,25,1.41,169.75,1.66,9.42,0.86,64.3,-45.46,4,2.475341626622449,False,True,100% real ticks,4272.0,3841286.0,True,V28-0059,,100.58,2.4358,
REVERSE_BOTH_sl2_tp4_h360_r0.01,v28_wf_REVERSE_BOTH_sl2_tp4_h360_r0.01_5392-0916131904,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 4.0, 'hold_min': 360}",wf,2025.12.14,2026.03.13,wf,26,49.62,0.5692,50.0,6,0,20,1.06,254.93,2.52,1.91,0.15,62.91,-59.09,4,0.5692039956310627,False,True,100% real ticks,4272.0,3841286.0,True,V28-0060,,99.87,0.4968,
REVERSE_BOTH_sl2_tp2_h180_r0.01,v28_oos_REVERSE_BOTH_sl2_tp2_h180_r0.01_16432-0916143308,V28_REVERSE_BOTH,3,"{'risk': 0.01, 'sl_atr': 2.0, 'tp_atr': 2.0, 'hold_min': 180}",oos,2025.09.15,2025.12.13,oos,12,20.55,0.225,50.0,1,1,10,1.07,150.44,1.48,1.71,0.09,51.71,-48.28,2,0.2250379398965496,False,True,100% real ticks,4272.0,3842190.0,True,V28-0061,,100.55,0.2044,
